Parcel,Paquete
Parcels,Paquetes

SEA Parcels,Paquetes MARÍTIMOS
AIR Parcels,Paquetes AÉREOS

Tracking Number,Número de Rastreo
Carrier,Transportista

Air,Aéreo
Sea,Marítimo

Awaiting Receipt,Esperando Recepción
Awaiting Confirmation,Esperando Confirmación
In Extraordinary Confirmation,En Confirmación Extraordinaria
Awaiting Departure,Esperando Despacho
In Customs,En Aduana
Sorting,Clasificando
For Delivery or Pickup,Para Entrega o Retiro
Never Arrived,Nunca Llegó
Returned to Sender,Devuelto al Remitente

Assisted Purchase,Asistencia de Compra
Package was purchased using Shopping Assistance Service,El paquete fue comprado usando el Servicio de Asistencia de Compras
Residential Address,Dirección Residencial
Package was sent to a Residential Address(Non Freight Forwarder),El paquete fue enviado a una Dirección Residencial(Non Freight Forwarder)

Additional Data from Carrier,Datos Adicionales del Transportista

Carrier estimated delivery date,Fecha de entrega estimada del transportista
Estimated delivery date provided by the carrier,Fecha de entrega estimada proporcionada por el transportista
Carrier real delivery date,Fecha de entrega real del transportista
Delivery date time (timezone aware) provided by the carrier,Fecha y hora de entrega (consciente de la zona horaria) proporcionada por el transportista

Carrier estimated weight (in pounds),Peso estimado según el transportista (en libras)
Estimated weight of the package as measured by the carrier,Peso estimado del paquete medido por el transportista
Signed by,Firmado por
The name of the person who signed for the package,El nombre de la persona que firmó el paquete

Carrier status,Estado según el transportista
Current status of the package,Estado actual del paquete
Available For Pickup,Disponible para recoger
Delivered,Entregado

Carrier status detail,Detalle del estado según el transportista
Additional details about the current status,Detalles adicionales sobre el estado actual
Arrived At Pickup Location,Llegó al lugar de recogida
Arrived At Destination,Llegó al destino

Carrier last detail, Última actualización del transportista

Estimated Departure Date,Fecha Estimada de Despacho
Estimated Delivery Date (Earliest),Fecha Estimada de Entrega (Más Pronta)
Estimated Delivery Date (Latest),Fecha Estimada de Entrega (Más Lejana)

Shipper,Vendedor
Store that sends the package,Tienda que envía el paquete
Number of Order,Número de Orden

Visit carrier detail page,Visitar página de detalles del transportista
Update data from carrier,Actualizar datos del transportista

Active Parcels,Paquetes Activos

With Carrier,Con El Transportista
Without Carrier Data,Sin Datos del Transportista
Arriving Late,Llegando Tarde
Arriving Today,Llegando Hoy
Available for pickup at post office,Disponible para recoger en la oficina postal

In Warehouse,En Almacén
This week pending confirmation,Pendientes de confirmación de esta semana
Arrived Today,Llegaron Hoy

In Office,En Oficina
Available at Office,Disponible en Oficina
To Bill and Unpaid,Por Cobrar y Sin Pagar
-----,------
Parcel is handled by a carrier we can't track.,El paquete lo maneja un transportista que no podemos rastrear.
Parcel has been updated from {} API.,El paquete se ha actualizado desde el {} API.

Transit days,Días de tránsito
Approximate days taken from departure to arrival.,Días aproximados tomados desde el despacho hasta el arribo.
Detail pricing,Precios detallados
Purchase assistance,Asistencia de compra
Total import cost,Costo total de importación
"This cost is an approximate, the total may vary depending on the actual weight of the package and/or changes in the value of the product.","Este costo es un aproximado, el total puede variar segun el peso real del paquete y/o cambios en el valor del producto."

Render Quotation,Visualizar Cotización

Warehouse Receipt,Recibo de Almacén
Warehouse where reception occurred.,Almacén donde se produjo la recepción.
Packages in Warehouse Receipt,Paquetes en el recibo de almacén
Estimated Gross Weight by Warehouse (in pounds),Peso Bruto estimado según el almacén (en libras)
Estimated Gross Weight by Carriers (in pounds),Peso Bruto estimado según los transportistas (en libras)

Cargo Shipment,Envío de Carga
Transportation type,Tipo de transporte
Warehouse Receipts in Cargo Shipment,Recibos de almacén en el envío de carga
Gross Weight (in pounds) provided by the warehouse (if available).,Peso bruto (en libras) proporcionado por el almacén (si está disponible).
Count of pieces(boxes) provided by the warehouse (if available).,Recuento de piezas (cajas) proporcionadas por el almacén (si está disponible).

Cargo Shipment Receipt,Recibo de Envío de Carga
Reference of the cargo shipment to be received.,Referencia del envío de carga a recibir.
Warehouse Receipts in Cargo Shipment Receipt,Recibos de almacén en el recibo de envío de carga
Packages in Cargo Shipment Receipt,Paquetes en el recibo de envío de carga
Gross weight of the package.,Peso bruto del paquete.

Pieces,Piezas
Internal reference code.,Código de referencia interno.
Departure date,Fecha de despacho
Arrival Date,Fecha de arribo
Real departure date of cargo shipment to his final destination.,Fecha real de despacho del envío de carga a su destino final.

Cargo Packing List,Lista de empaque de carga
Consignee,Consignatario
Name on the package label.,Nombre en la etiqueta del paquete.
